metric,strategy,model_family,tau,p_value,p_holm
F1,OVERB,pooled,0.10981343951878918,9.999000099990002e-05,0.0008999100089991002
F1,OVERT,pooled,0.10833331764851932,9.999000099990002e-05,0.0008999100089991002
F1,OVERTPhi,pooled,0.10757863896594572,9.999000099990002e-05,0.0008999100089991002
F1,SMOTEB,pooled,0.14002282630929347,9.999000099990002e-05,0.0008999100089991002
F1,SMOTET,pooled,0.12872749002345357,9.999000099990002e-05,0.0008999100089991002
F1,SMOTETPhi,pooled,0.1295449530032154,9.999000099990002e-05,0.0008999100089991002
F1,UNDERB,pooled,0.10679222480672777,9.999000099990002e-05,0.0008999100089991002
F1,UNDERT,pooled,0.10955623325779272,9.999000099990002e-05,0.0008999100089991002
F1,UNDERTPhi,pooled,0.11194115522139456,9.999000099990002e-05,0.0008999100089991002
F1,OVERB,lm,0.25536159277528353,9.999000099990002e-05,
F1,OVERT,lm,0.2539281903223338,9.999000099990002e-05,
F1,OVERTPhi,lm,0.25478543204097986,9.999000099990002e-05,
F1,SMOTEB,lm,0.26647782947424786,9.999000099990002e-05,
F1,SMOTET,lm,0.25421500329202734,9.999000099990002e-05,
F1,SMOTETPhi,lm,0.2523850412121743,9.999000099990002e-05,
F1,UNDERB,lm,0.2542853657728958,9.999000099990002e-05,
F1,UNDERT,lm,0.25801037337441907,9.999000099990002e-05,
F1,UNDERTPhi,lm,0.2583116217203463,9.999000099990002e-05,
F1,OVERB,svm,0.033619393110298997,0.0058994100589941,
F1,OVERT,svm,0.03204494073084201,0.006299370062993701,
F1,OVERTPhi,svm,0.0320304355325684,0.007399260073992601,
F1,SMOTEB,svm,0.0272172669968804,0.019098090190980903,
F1,SMOTET,svm,0.02019162889639565,0.07929207079292071,
F1,SMOTETPhi,svm,0.01471067312052335,0.20007999200079993,
F1,UNDERB,svm,0.03163688218244728,0.0071992800719928,
F1,UNDERT,svm,0.03177005658962168,0.007599240075992401,
F1,UNDERTPhi,svm,0.03431492476478538,0.0030996900309969004,
F1,OVERB,mars,0.1423901167003886,9.999000099990002e-05,
F1,OVERT,mars,0.14869376833303402,9.999000099990002e-05,
F1,OVERTPhi,mars,0.14594613324381997,9.999000099990002e-05,
F1,SMOTEB,mars,0.14630703029594494,9.999000099990002e-05,
F1,SMOTET,mars,0.13879790611103213,9.999000099990002e-05,
F1,SMOTETPhi,mars,0.13915977982262653,9.999000099990002e-05,
F1,UNDERB,mars,0.08094148685327894,0.0007999200079992001,
F1,UNDERT,mars,0.08902103750586239,0.0005999400059994001,
F1,UNDERTPhi,mars,0.09523403884561378,0.00029997000299970003,
F1,OVERB,rf,0.09045754696111898,0.0051994800519948,
F1,OVERT,rf,0.0822246124139957,0.012098790120987902,
F1,OVERTPhi,rf,0.08016418701975803,0.012098790120987902,
F1,SMOTEB,rf,0.2326563703329493,9.999000099990002e-05,
F1,SMOTET,rf,0.2169347082662431,9.999000099990002e-05,
F1,SMOTETPhi,rf,0.22044943412880846,9.999000099990002e-05,
F1,UNDERB,rf,0.14064186253390148,9.999000099990002e-05,
F1,UNDERT,rf,0.1431135891113182,9.999000099990002e-05,
F1,UNDERTPhi,rf,0.14580622521450112,9.999000099990002e-05,
F1,OVERB,rpart,0.02723854804685587,0.0004999500049995,
F1,OVERT,rpart,0.024775076442391075,0.0008999100089991,
F1,OVERTPhi,rpart,0.024967006992602365,0.0014998500149985001,
F1,SMOTEB,rpart,0.027455634446444745,0.00029997000299970003,
F1,SMOTET,rpart,0.013498203551569707,0.0744925507449255,
F1,SMOTETPhi,rpart,0.021019836731944335,0.0064993500649935,
F1,UNDERB,rpart,0.026455526691115436,0.0007999200079992001,
F1,UNDERT,rpart,0.025866109707742318,0.0011998800119988001,
F1,UNDERTPhi,rpart,0.0260389655617263,0.0006999300069993001,
SERA_log,OVERB,pooled,0.1795658580479241,0.020497950204979503,0.040995900409959006
SERA_log,OVERT,pooled,0.28497057294471967,9.999000099990002e-05,0.0008999100089991002
SERA_log,OVERTPhi,pooled,0.17357575659918903,0.030896910308969103,0.040995900409959006
SERA_log,SMOTEB,pooled,0.3152894710678522,9.999000099990002e-05,0.0008999100089991002
SERA_log,SMOTET,pooled,0.3450458858084801,9.999000099990002e-05,0.0008999100089991002
SERA_log,SMOTETPhi,pooled,0.42638694783586384,9.999000099990002e-05,0.0008999100089991002
SERA_log,UNDERB,pooled,0.2935580989489229,9.999000099990002e-05,0.0008999100089991002
SERA_log,UNDERT,pooled,0.3032424532902363,9.999000099990002e-05,0.0008999100089991002
SERA_log,UNDERTPhi,pooled,0.36123609150648345,9.999000099990002e-05,0.0008999100089991002
SERA_log,OVERB,lm,0.05530297584271878,0.6181381861813818,
SERA_log,OVERT,lm,0.061223365814620345,0.5996400359964004,
SERA_log,OVERTPhi,lm,0.06138523642558678,0.5949405059494051,
SERA_log,SMOTEB,lm,0.15271911956252285,0.3174682531746825,
SERA_log,SMOTET,lm,0.24934090547808455,0.12338766123387661,
SERA_log,SMOTETPhi,lm,0.2990880799627635,0.051994800519948,
SERA_log,UNDERB,lm,0.2602329823428968,0.10378962103789621,
SERA_log,UNDERT,lm,0.26098396515072414,0.10828917108289171,
SERA_log,UNDERTPhi,lm,0.4414071543157731,9.999000099990002e-05,
SERA_log,OVERB,svm,0.24241457675049713,0.0007999200079992001,
SERA_log,OVERT,svm,0.24262962862744675,0.000999900009999,
SERA_log,OVERTPhi,svm,0.24396159506476656,0.0005999400059994001,
SERA_log,SMOTEB,svm,0.48348482251769304,9.999000099990002e-05,
SERA_log,SMOTET,svm,0.512310283120633,9.999000099990002e-05,
SERA_log,SMOTETPhi,svm,0.6021916450444891,9.999000099990002e-05,
SERA_log,UNDERB,svm,0.3674163974007678,9.999000099990002e-05,
SERA_log,UNDERT,svm,0.3756249154761923,9.999000099990002e-05,
SERA_log,UNDERTPhi,svm,0.4174473431249632,9.999000099990002e-05,
SERA_log,OVERB,mars,0.3798169648193673,0.20257974202579743,
SERA_log,OVERT,mars,0.9192364995553092,9.999000099990002e-05,
SERA_log,OVERTPhi,mars,0.3678222481607909,0.20127987201279873,
SERA_log,SMOTEB,mars,0.5021827038951057,0.19148085191480851,
SERA_log,SMOTET,mars,0.46301613542539694,0.19758024197580243,
SERA_log,SMOTETPhi,mars,0.5657926567629855,0.1640835916408359,
SERA_log,UNDERB,mars,0.3066616694366165,0.20107989201079893,
SERA_log,UNDERT,mars,0.32556646352767343,0.21207879212078792,
SERA_log,UNDERTPhi,mars,0.29034172901326327,0.1987801219878012,
SERA_log,OVERB,rf,0.04744599810837996,0.5542445755424458,
SERA_log,OVERT,rf,0.042053920788179606,0.6002399760023998,
SERA_log,OVERTPhi,rf,0.042660863452938715,0.6012398760123988,
SERA_log,SMOTEB,rf,0.1150716821369286,0.14588541145885411,
SERA_log,SMOTET,rf,0.14616768131174843,0.06179382061793821,
SERA_log,SMOTETPhi,rf,0.2550173869788654,0.00029997000299970003,
SERA_log,UNDERB,rf,0.18455129706627557,0.0165983401659834,
SERA_log,UNDERT,rf,0.19206600421439216,0.0112988701129887,
SERA_log,UNDERTPhi,rf,0.26078270573920204,0.00019998000199980003,
SERA_log,OVERB,rpart,0.17284877471865745,0.012098790120987902,
SERA_log,OVERT,rpart,0.15970944993804273,0.022097790220977902,
SERA_log,OVERTPhi,rpart,0.15204883989186213,0.028997100289971003,
SERA_log,SMOTEB,rpart,0.32298902722701084,9.999000099990002e-05,
SERA_log,SMOTET,rpart,0.35439442370653773,9.999000099990002e-05,
SERA_log,SMOTETPhi,rpart,0.4098449704302158,9.999000099990002e-05,
