"dataset_id","dataset_name","workflow","iteration","prec","rec","F1"
"DS03","Bike Sharing Daily - Windspeed","mc.lm",1,0.851104636827994,0.61606912659832,0.714760996038949
"DS03","Bike Sharing Daily - Windspeed","mc.lm",2,0.848590967204058,0.613253191223174,0.711978928370774
"DS03","Bike Sharing Daily - Windspeed","mc.lm",3,0.848437995234046,0.613002589903017,0.711756185971551
"DS03","Bike Sharing Daily - Windspeed","mc.lm",4,0.905154570567433,0.593149468936743,0.716666228858876
"DS03","Bike Sharing Daily - Windspeed","mc.lm",5,0.906496485013539,0.592828895129765,0.716852147995025
"DS03","Bike Sharing Daily - Windspeed","mc.lm",6,0.906171698664154,0.592081141584994,0.716203780034703
"DS03","Bike Sharing Daily - Windspeed","mc.lm",7,1e-05,0.588688233011076,1.99996602673683e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",8,1e-05,0.586745461969648,1.99996591424998e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",9,1e-05,0.585678137133402,1.99996585213404e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",10,1e-05,0.584230198984192,1.99996576750447e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",11,1e-05,0.598026415326831,1.99996655722045e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",12,1e-05,0.58978610177554,1.99996608997594e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",13,1e-05,0.58555778838785,1.99996584511581e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",14,1e-05,0.586240251300124,1.99996588487603e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",15,1e-05,0.585562814252115,1.99996584540895e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",16,1e-05,0.581153152062937,1.99996558625589e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",17,1e-05,0.582610572792421,1.9999656723416e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",18,1e-05,0.581099254895449,1.99996558306406e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",19,1e-05,0.602180035708757,1.99996678789283e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",20,1e-05,0.573951530076852,1.99996515445905e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",21,1e-05,0.574499927886539,1.99996518772082e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",22,1e-05,0.5710941758158,1.99996498011948e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",23,1e-05,0.564448521361336,1.99996456781279e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",24,1e-05,0.55097229253922,1.99996370119281e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",25,1e-05,0.544545111528501,1.99996327277152e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",26,1e-05,0.52956278948656,1.99996223370914e-05
"DS03","Bike Sharing Daily - Windspeed","mc.lm",27,1e-05,0.528959029983202,1.9999621906031e-05
