"dataset_id","dataset_name","workflow","iteration","prec","rec","F1"
"DS06","Bike Sharing Hourly - Humidity","mc.lm",1,1e-05,0.386137758610626,1.99994820635481e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",2,1e-05,0.383569278962765,1.99994785954013e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",3,1e-05,0.384030024800334,1.99994792209481e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",4,1e-05,0.383519381368906,1.9999478527566e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",5,1e-05,0.383433376028762,1.99994784106011e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",6,1e-05,0.384912386504954,1.99994804147355e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",7,1e-05,0.386979760045827,1.99994831904597e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",8,1e-05,0.386938254806762,1.99994831350251e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",9,1e-05,0.384602518042262,1.99994799961244e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",10,1e-05,0.388550480760879,1.99994852796157e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",11,1e-05,0.385795642533766,1.9999481604264e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",12,1e-05,0.388140673553778,1.99994847361769e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",13,1e-05,0.388840987424553,1.99994856641581e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",14,1e-05,0.389917209687793,1.99994870837556e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",15,1e-05,0.389724494076688,1.99994868301291e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",16,1e-05,0.39035761106466,1.99994876624127e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",17,1e-05,0.39068456329757,1.99994880911618e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",18,1e-05,0.391996894903702,1.99994898048922e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",19,1e-05,0.392504944343148,1.99994904652603e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",20,1e-05,0.392310405158596,1.99994902125982e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",21,1e-05,0.392926793975597,1.99994910122873e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",22,1e-05,0.392880174676881,1.99994909518922e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",23,1e-05,0.393254371344392,1.99994914362587e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",24,1e-05,0.395470566836477,1.99994942861501e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",25,1e-05,0.396645637687591,1.99994957843e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",26,1e-05,0.397575355677899,1.99994969633636e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",27,1e-05,0.397865017096032,1.99994973295849e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",28,1e-05,0.398226028605096,1.9999497785269e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",29,1e-05,0.398628583250938,1.99994982924172e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",30,1e-05,0.398298407356037,1.99994978765291e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",31,1e-05,0.398351280343648,1.9999497943174e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",32,1e-05,0.40106727913814,1.9999501342982e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",33,1e-05,0.4012942445424,1.99995016250072e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",34,1e-05,0.400568731709317,1.99995007223695e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",35,1e-05,0.400896271090033,1.9999501130278e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",36,1e-05,0.402135277483771,1.99995026672917e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",37,1e-05,0.402159520138778,1.99995026972707e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",38,1e-05,0.400146906773216,1.99995001960566e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",39,1e-05,0.399975699870408,1.99994999821242e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",40,1e-05,0.399322536537256,1.99994991642761e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",41,1e-05,0.400422745790039,1.99995005403477e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",42,1e-05,0.400960570069703,1.99995012102759e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",43,1e-05,0.400043717115298,1.99995000671374e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",44,1e-05,0.399350172602379,1.99994991989344e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",45,1e-05,0.399387499172021,1.99994992457379e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",46,1e-05,0.399611595712136,1.99994995265467e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",47,1e-05,0.398804531736206,1.99994985137599e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",48,1e-05,0.398794621658727,1.99994985012983e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",49,1e-05,0.398374048158855,1.99994979718668e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",50,1e-05,0.396806585721509,1.99994959888089e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm_UNDERB",1,0.361962520147277,0.420171394035887,0.388900913056196
"DS06","Bike Sharing Hourly - Humidity","mc.lm_UNDERB",2,0.35572154182737,0.434925794899514,0.391356467429909
"DS06","Bike Sharing Hourly - Humidity","mc.lm_UNDERB",3,0.349215865644193,0.433633790704981,0.386873260696865
"DS06","Bike Sharing Hourly - Humidity","mc.lm_UNDERB",4,0.36421203567696,0.434932959414364,0.396443247481535
"DS06","Bike Sharing Hourly - Humidity","mc.lm_UNDERB",5,0.365140933213027,0.43342015025678,0.396361509254726
"DS06","Bike Sharing Hourly - Humidity","mc.lm_UNDERB",6,0.367642726887096,0.429721547747991,0.396265563035204
"DS06","Bike Sharing Hourly - Humidity","mc.lm_UNDERB",7,0.351630781220261,0.448470086418289,0.394190015832906
"DS06","Bike Sharing Hourly - Humidity","mc.lm_UNDERB",8,0.331225862239693,0.444558457287701,0.379613907176599
"DS06","Bike Sharing Hourly - Humidity","mc.lm_UNDERB",9,0.377045680477169,0.440128559287807,0.406152235493461
