"dataset_id","dataset_name","workflow","iteration","prec","rec","F1"
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",1,1e-05,0.625721267747036,1.99996803739715e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",2,1e-05,0.627879467436747,1.99996814725993e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",3,1e-05,0.629101828146682,1.99996820914962e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",4,1e-05,0.635687756377955,1.99996853850781e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",5,1e-05,0.639767301954716,1.99996873912229e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",6,1e-05,0.640990601306787,1.99996879878122e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",7,1e-05,0.637627776299573,1.99996863422974e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",8,1e-05,0.637363294623105,1.99996862121434e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",9,1e-05,0.63754789501819,1.99996863029984e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",10,1e-05,0.640851414229315,1.99996879200471e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",11,1e-05,0.64096314437754,1.99996879744467e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",12,1e-05,0.637157002781902,1.99996861105501e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",13,1e-05,0.637676941916188,1.99996863664804e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",14,1e-05,0.636308762593143,1.9999685692122e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",15,1e-05,0.635779517248698,1.99996854304851e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",16,1e-05,0.638260515990503,1.99996866532372e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",17,1e-05,0.638180132126609,1.99996866137693e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",18,1e-05,0.638134103949368,1.99996865911653e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",19,1e-05,0.638258153816778,1.99996866520775e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",20,1e-05,0.638406456591385,1.99996867248675e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",21,1e-05,0.638462060834136,1.99996867521505e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",22,1e-05,0.638541574830913,1.99996867911569e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",23,1e-05,0.640203110536631,1.99996876040232e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",24,1e-05,0.640362498223583,1.99996876817781e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",25,1e-05,0.642269121460033,1.99996886089033e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",26,1e-05,0.641717527187338,1.99996883412484e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",27,1e-05,0.642423252863546,1.99996886836117e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",28,1e-05,0.63954571623137,1.99996872829139e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",29,1e-05,0.639777421522581,1.99996873961674e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",30,1e-05,0.639042789615484,1.99996870368094e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",31,1e-05,0.640801947669956,1.99996878959565e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",32,1e-05,0.642004235140912,1.99996884804276e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",33,1e-05,0.641441197307491,1.99996882069893e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",34,1e-05,0.641059330614549,1.99996880212632e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",35,1e-05,0.641089830644598,1.99996880361054e-05
"DS10","Porto Weather - Minimum Temperature (Daily)","mc.lm",36,1e-05,0.641334426506703,1.99996881550821e-05
