"dataset_id","dataset_name","workflow","iteration","prec","rec","F1"
"DS12","Porto Weather - Maximum Steady Wind (Daily)","mc.lm",1,1e-05,0.547338636426943,1.99996346021773e-05
"DS12","Porto Weather - Maximum Steady Wind (Daily)","mc.lm",2,1e-05,0.550538477707868,1.9999636725905e-05
"DS12","Porto Weather - Maximum Steady Wind (Daily)","mc.lm",3,1e-05,0.550640917736881,1.99996367934865e-05
"DS12","Porto Weather - Maximum Steady Wind (Daily)","mc.lm",4,1e-05,0.506211632818932,1.99996049161335e-05
"DS12","Porto Weather - Maximum Steady Wind (Daily)","mc.lm",5,1e-05,0.50771490208289,1.99996060858958e-05
"DS12","Porto Weather - Maximum Steady Wind (Daily)","mc.lm",6,1e-05,0.509058720050411,1.99996071257335e-05
"DS12","Porto Weather - Maximum Steady Wind (Daily)","mc.lm",7,1e-05,0.501880051617729,1.99996015063472e-05
"DS12","Porto Weather - Maximum Steady Wind (Daily)","mc.lm",8,1e-05,0.531859180337652,1.99996239676834e-05
"DS12","Porto Weather - Maximum Steady Wind (Daily)","mc.lm",9,1e-05,0.531134470105179,1.99996234546131e-05
"DS12","Porto Weather - Maximum Steady Wind (Daily)","mc.lm",10,1e-05,0.531001306648326,1.99996233601856e-05
"DS12","Porto Weather - Maximum Steady Wind (Daily)","mc.lm",11,1e-05,0.527809579208935,1.99996210826429e-05
"DS12","Porto Weather - Maximum Steady Wind (Daily)","mc.lm",12,1e-05,0.527905051457037,1.99996211511692e-05
"DS12","Porto Weather - Maximum Steady Wind (Daily)","mc.lm",13,1e-05,0.525636940141604,1.99996195164763e-05
"DS12","Porto Weather - Maximum Steady Wind (Daily)","mc.lm",14,1e-05,0.525200227736448,1.99996192001042e-05
"DS12","Porto Weather - Maximum Steady Wind (Daily)","mc.lm",15,1e-05,0.524942356026833,1.99996190130443e-05
"DS12","Porto Weather - Maximum Steady Wind (Daily)","mc.lm",16,1e-05,0.523650605651426,1.99996180732371e-05
"DS12","Porto Weather - Maximum Steady Wind (Daily)","mc.lm",17,1e-05,0.52235138250747,1.99996171233045e-05
"DS12","Porto Weather - Maximum Steady Wind (Daily)","mc.lm",18,1e-05,0.521473948605511,1.99996164790872e-05
