"dataset_id","dataset_name","workflow","iteration","prec","rec","F1"
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",1,1e-05,0.384532613823749,1.99994799015953e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",2,1e-05,0.381756517020197,1.99994761195886e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",3,1e-05,0.38613047031612,1.99994820537722e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",4,1e-05,0.398135915882093,1.99994976716022e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",5,1e-05,0.398351619542953,1.99994979436015e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",6,1e-05,0.389111889122326,1.99994860222321e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",7,1e-05,0.389246984115542,1.99994862006125e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",8,1e-05,0.3861476930381,1.99994820768727e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",9,1e-05,0.385996403846468,1.99994818738808e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",10,1e-05,0.388195425665753,1.99994848088492e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",11,1e-05,0.388605747008246,1.99994853528156e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",12,1e-05,0.38101451602886,1.99994750993923e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",13,1e-05,0.381731379065597,1.99994760850907e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",14,1e-05,0.389753905831338,1.99994868688531e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",15,1e-05,0.389745424677529,1.99994868576873e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",16,1e-05,0.390881155820281,1.99994883486182e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",17,1e-05,0.391026589137469,1.99994885389103e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",18,1e-05,0.39125770899259,1.99994888410278e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",19,1e-05,0.38788749310972,1.99994843998645e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",20,1e-05,0.380782878050589,1.9999474780093e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",21,1e-05,0.377856937539285,1.99994707131529e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",22,1e-05,0.376905593400137,1.999946937722e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",23,1e-05,0.38194077935452,1.99994763723212e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",24,1e-05,0.381181839492569,1.99994753297965e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",25,1e-05,0.387106151318475,1.99994833591951e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",26,1e-05,0.390955009826786,1.99994884452701e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",27,1e-05,0.388246195609283,1.99994848762177e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",28,1e-05,0.395442312690778,1.99994942500181e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",29,1e-05,0.395573613793367,1.99994944178853e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",30,1e-05,0.393765543428554,1.99994920964409e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",31,1e-05,0.402936116383461,1.999950365572e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",32,1e-05,0.399103076287176,1.99994988888817e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",33,1e-05,0.400820623093172,1.99995010361273e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",34,1e-05,0.398292503814099,1.99994978690867e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",35,1e-05,0.398800782709209,1.99994985090457e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",36,1e-05,0.396246726539095,1.99994952767067e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",37,1e-05,0.401701511614316,1.99995021302745e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",38,1e-05,0.40027686223159,1.99995003583208e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",39,1e-05,0.396340043983159,1.99994953955398e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",40,1e-05,0.396858513105951,1.99994960547552e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",41,1e-05,0.397387122402823,1.99994967250925e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",42,1e-05,0.397550035472625,1.99994969313257e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",43,1e-05,0.398399764689803,1.99994980042717e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",44,1e-05,0.394232305221834,1.99994926977715e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",45,1e-05,0.394059589642047,1.99994924754276e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",46,1e-05,0.389797278284894,1.99994869259474e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",47,1e-05,0.386938731724981,1.99994831356622e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",48,1e-05,0.375864428463147,1.99994679074051e-05
"DS17","Istanbul Stock Exchange - NIKKEI (Daily)","mc.lm",49,1e-05,0.368730911431793,1.99994576137505e-05
