"dataset_id","dataset_name","workflow","iteration","prec","rec","F1"
"DS23","Water Consumption of Oporto - Pedroucos (Half-Hourly)","mc.lm",1,0.494960605248085,0.532597627246153,0.513089838802742
"DS23","Water Consumption of Oporto - Pedroucos (Half-Hourly)","mc.lm",2,0.49401968453287,0.628689847091489,0.553277853586572
"DS23","Water Consumption of Oporto - Pedroucos (Half-Hourly)","mc.lm",3,0.494364271331257,0.647896733503578,0.560812275304297
"DS23","Water Consumption of Oporto - Pedroucos (Half-Hourly)","mc.lm",4,0.519683165949514,0.691544816596666,0.59342123012953
"DS23","Water Consumption of Oporto - Pedroucos (Half-Hourly)","mc.lm",5,0.401019060404339,0.668068736724697,0.501190450038438
"DS23","Water Consumption of Oporto - Pedroucos (Half-Hourly)","mc.lm",6,0.658477552774568,0.521882681522738,0.58227653046801
"DS23","Water Consumption of Oporto - Pedroucos (Half-Hourly)","mc.lm",7,0.65784176775588,0.521240910777178,0.581628495465562
"DS23","Water Consumption of Oporto - Pedroucos (Half-Hourly)","mc.lm",8,0.662091170403812,0.519916720653918,0.582453421325682
"DS23","Water Consumption of Oporto - Pedroucos (Half-Hourly)","mc.lm",9,0.662341139298494,0.517779789460184,0.581206293862655
"DS23","Water Consumption of Oporto - Pedroucos (Half-Hourly)","mc.lm",10,0.664084963097525,0.521042887876756,0.583931508627372
"DS23","Water Consumption of Oporto - Pedroucos (Half-Hourly)","mc.lm",11,0.663662310701255,0.521035599986565,0.583763484556053
"DS23","Water Consumption of Oporto - Pedroucos (Half-Hourly)","mc.lm",12,0.452207971395235,0.494381650333219,0.472355322856786
"DS23","Water Consumption of Oporto - Pedroucos (Half-Hourly)","mc.lm",13,0.487223640601241,0.502434580068262,0.494712215090193
"DS23","Water Consumption of Oporto - Pedroucos (Half-Hourly)","mc.lm",14,0.481294460350083,0.503641748774485,0.492214584945837
"DS23","Water Consumption of Oporto - Pedroucos (Half-Hourly)","mc.lm",15,0.480452020640557,0.502743917596573,0.491345258213967
