dataset_id,workflow,model_family,strategy,iteration,rmse
DS15,mc.BDES,BDES,baseline,1,0.01331245719435431
DS15,mc.BDES,BDES,baseline,2,0.013288011297508655
DS15,mc.BDES,BDES,baseline,3,0.01337387607935552
DS15,mc.BDES,BDES,baseline,4,0.013527086786097969
DS15,mc.BDES,BDES,baseline,5,0.013459021682601503
DS15,mc.BDES,BDES,baseline,6,0.013446312853477237
DS15,mc.BDES,BDES,baseline,7,0.013410328979874462
DS15,mc.BDES,BDES,baseline,8,0.013388289663221632
DS15,mc.BDES,BDES,baseline,9,0.013426057363924701
DS15,mc.BDES,BDES,baseline,10,0.013416771665019644
DS15,mc.BDES,BDES,baseline,11,0.013526489855845345
DS15,mc.BDES,BDES,baseline,12,0.013354244848250273
DS15,mc.BDES,BDES,baseline,13,0.013418304810597538
DS15,mc.BDES,BDES,baseline,14,0.013530650091213807
DS15,mc.BDES,BDES,baseline,15,0.013491352852123238
DS15,mc.BDES,BDES,baseline,16,0.013503725537776422
DS15,mc.BDES,BDES,baseline,17,0.013391404644958802
DS15,mc.BDES,BDES,baseline,18,0.01342568104266387
DS15,mc.BDES,BDES,baseline,19,0.013296724973395378
DS15,mc.BDES,BDES,baseline,20,0.01324796638322558
DS15,mc.BDES,BDES,baseline,21,0.013264432138995391
DS15,mc.BDES,BDES,baseline,22,0.013227323823326304
DS15,mc.BDES,BDES,baseline,23,0.013345509794484844
DS15,mc.BDES,BDES,baseline,24,0.013442110190368305
DS15,mc.BDES,BDES,baseline,25,0.013115694909803303
DS15,mc.BDES,BDES,baseline,26,0.01293949435678038
DS15,mc.BDES,BDES,baseline,27,0.012910394534298307
DS15,mc.BDES,BDES,baseline,28,0.012780150443232796
DS15,mc.BDES,BDES,baseline,29,0.012754023754927698
DS15,mc.BDES,BDES,baseline,30,0.012676088608661377
DS15,mc.BDES,BDES,baseline,31,0.011021548019191975
DS15,mc.BDES,BDES,baseline,32,0.01086771799464759
DS15,mc.BDES,BDES,baseline,33,0.010256251178407136
DS15,mc.BDES,BDES,baseline,34,0.010361948456337094
DS15,mc.BDES,BDES,baseline,35,0.010265633368606652
DS15,mc.BDES,BDES,baseline,36,0.010407393007304956
DS15,mc.BDES,BDES,baseline,37,0.01016849656150903
DS15,mc.BDES,BDES,baseline,38,0.010130375433805312
DS15,mc.BDES,BDES,baseline,39,0.00986999794854771
DS15,mc.BDES,BDES,baseline,40,0.009931667223151133
DS15,mc.BDES,BDES,baseline,41,0.009791440856042556
DS15,mc.BDES,BDES,baseline,42,0.009322025042212675
DS15,mc.BDES,BDES,baseline,43,0.009149538519056463
DS15,mc.BDES,BDES,baseline,44,0.009114733128157484
DS15,mc.BDES,BDES,baseline,45,0.009099094459258647
DS15,mc.BDES,BDES,baseline,46,0.00882682623113568
DS15,mc.BDES,BDES,baseline,47,0.008614124697586874
DS15,mc.BDES,BDES,baseline,48,0.008656776202325269
DS15,mc.BDES,BDES,baseline,49,0.008362766196362186
DS15,mc.BDES,BDES,baseline,50,0.008322756252145702
DS15,mc.arima,arima,baseline,1,0.013524701830106881
DS15,mc.arima,arima,baseline,2,0.013395083640665845
DS15,mc.arima,arima,baseline,3,0.013459868381531506
DS15,mc.arima,arima,baseline,4,0.014085076252008666
DS15,mc.arima,arima,baseline,5,0.013514518665834668
DS15,mc.arima,arima,baseline,6,0.013434836227830572
DS15,mc.arima,arima,baseline,7,0.013920901711799726
DS15,mc.arima,arima,baseline,8,0.013423297787744818
DS15,mc.arima,arima,baseline,9,0.013488029323035078
DS15,mc.arima,arima,baseline,10,0.013479091256218372
DS15,mc.arima,arima,baseline,11,0.01345421340708693
DS15,mc.arima,arima,baseline,12,0.013493795527155475
DS15,mc.arima,arima,baseline,13,0.013691878077131693
DS15,mc.arima,arima,baseline,14,0.013765674033766488
DS15,mc.arima,arima,baseline,15,0.014020421961529755
DS15,mc.arima,arima,baseline,16,0.013839639223875513
DS15,mc.arima,arima,baseline,17,0.013682748548868237
DS15,mc.arima,arima,baseline,18,0.01363630243705794
DS15,mc.arima,arima,baseline,19,0.013615106489136618
DS15,mc.arima,arima,baseline,20,0.013627828912880951
DS15,mc.arima,arima,baseline,21,0.013633659782656989
DS15,mc.arima,arima,baseline,22,0.013679411736212666
DS15,mc.arima,arima,baseline,23,0.013520378084816648
DS15,mc.arima,arima,baseline,24,0.013523446443762922
DS15,mc.arima,arima,baseline,25,0.013522068264319174
DS15,mc.arima,arima,baseline,26,0.01316718411574977
DS15,mc.arima,arima,baseline,27,0.013128619000978349
DS15,mc.arima,arima,baseline,28,0.012927809926110511
DS15,mc.arima,arima,baseline,29,0.012992200085864792
DS15,mc.arima,arima,baseline,30,0.01258376525060717
DS15,mc.arima,arima,baseline,31,0.01102267068925799
DS15,mc.arima,arima,baseline,32,0.011113743944861485
DS15,mc.arima,arima,baseline,33,0.010406988451471196
DS15,mc.arima,arima,baseline,34,0.010419397717515143
DS15,mc.arima,arima,baseline,35,0.010420005458386995
DS15,mc.arima,arima,baseline,36,0.010417087942504843
DS15,mc.arima,arima,baseline,37,0.010274474933099296
DS15,mc.arima,arima,baseline,38,0.010248937508874961
DS15,mc.arima,arima,baseline,39,0.0100669024160148
DS15,mc.arima,arima,baseline,40,0.01059341228589788
DS15,mc.arima,arima,baseline,41,0.010020609968714398
DS15,mc.arima,arima,baseline,42,0.009941174651149713
DS15,mc.arima,arima,baseline,43,0.010177685181289652
DS15,mc.arima,arima,baseline,44,0.009417928247663705
DS15,mc.arima,arima,baseline,45,0.00938367464241439
DS15,mc.arima,arima,baseline,46,0.009109435588512528
DS15,mc.arima,arima,baseline,47,0.008875015405656444
DS15,mc.arima,arima,baseline,48,0.00894920370455359
DS15,mc.arima,arima,baseline,49,0.008715226025169678
DS15,mc.arima,arima,baseline,50,0.00865440151322793
DS15,mc.lm_OVERB,lm,OVERB,1,0.01710627801107853
DS15,mc.lm_OVERB,lm,OVERB,2,0.01603917315584607
DS15,mc.lm_OVERB,lm,OVERB,3,0.01703130964982989
