dataset_id,workflow,model_family,strategy,iteration,sera
DS16,mc.BDES,BDES,baseline,1,0.015827117981068308
DS16,mc.BDES,BDES,baseline,2,0.016195749930511524
DS16,mc.BDES,BDES,baseline,3,0.016472728430280727
DS16,mc.BDES,BDES,baseline,4,0.017141472797823958
DS16,mc.BDES,BDES,baseline,5,0.017135340096325193
DS16,mc.BDES,BDES,baseline,6,0.017209160429752162
DS16,mc.BDES,BDES,baseline,7,0.017105638720429715
DS16,mc.BDES,BDES,baseline,8,0.01717183001037608
DS16,mc.BDES,BDES,baseline,9,0.017511254240024147
DS16,mc.BDES,BDES,baseline,10,0.017406009624736183
DS16,mc.BDES,BDES,baseline,11,0.01808269290134594
DS16,mc.BDES,BDES,baseline,12,0.017891769327020527
DS16,mc.BDES,BDES,baseline,13,0.017984482069020095
DS16,mc.BDES,BDES,baseline,14,0.017817053603364667
DS16,mc.BDES,BDES,baseline,15,0.017683494139721846
DS16,mc.BDES,BDES,baseline,16,0.01751539394246923
DS16,mc.BDES,BDES,baseline,17,0.017383262841114962
DS16,mc.BDES,BDES,baseline,18,0.017798519555815
DS16,mc.BDES,BDES,baseline,19,0.0178249952463233
DS16,mc.BDES,BDES,baseline,20,0.01716182386581535
DS16,mc.BDES,BDES,baseline,21,0.017154288416550614
DS16,mc.BDES,BDES,baseline,22,0.017517438905355294
DS16,mc.BDES,BDES,baseline,23,0.017639397366566712
DS16,mc.BDES,BDES,baseline,24,0.017915047348305218
DS16,mc.BDES,BDES,baseline,25,0.017544899331718405
DS16,mc.BDES,BDES,baseline,26,0.016710103292596035
DS16,mc.BDES,BDES,baseline,27,0.016824355425929482
DS16,mc.BDES,BDES,baseline,28,0.01597911174598072
DS16,mc.BDES,BDES,baseline,29,0.015771429599207045
DS16,mc.BDES,BDES,baseline,30,0.015937273511228776
DS16,mc.BDES,BDES,baseline,31,0.011450185622055397
DS16,mc.BDES,BDES,baseline,32,0.011496282073759126
DS16,mc.BDES,BDES,baseline,33,0.009592121196043699
DS16,mc.BDES,BDES,baseline,34,0.00941286367220653
DS16,mc.BDES,BDES,baseline,35,0.009362807431639832
DS16,mc.BDES,BDES,baseline,36,0.009351352044115451
DS16,mc.BDES,BDES,baseline,37,0.009202943596740995
DS16,mc.BDES,BDES,baseline,38,0.00917474365835792
DS16,mc.BDES,BDES,baseline,39,0.009211408639936221
DS16,mc.BDES,BDES,baseline,40,0.009646017940023278
DS16,mc.BDES,BDES,baseline,41,0.00946210369143309
DS16,mc.BDES,BDES,baseline,42,0.008181963009789236
DS16,mc.BDES,BDES,baseline,43,0.007055473728000019
DS16,mc.BDES,BDES,baseline,44,0.007237166488383583
DS16,mc.BDES,BDES,baseline,45,0.0072664842380284565
DS16,mc.BDES,BDES,baseline,46,0.007204863173237444
DS16,mc.BDES,BDES,baseline,47,0.006944959755437904
DS16,mc.BDES,BDES,baseline,48,0.0074850377389967734
DS16,mc.BDES,BDES,baseline,49,0.006472838488773226
DS16,mc.BDES,BDES,baseline,50,0.0064146807788539924
DS16,mc.arima,arima,baseline,1,0.015982245518286677
DS16,mc.arima,arima,baseline,2,0.016001675532469384
DS16,mc.arima,arima,baseline,3,0.016561395455575632
DS16,mc.arima,arima,baseline,4,0.01719487751266531
DS16,mc.arima,arima,baseline,5,0.0177040025564008
DS16,mc.arima,arima,baseline,6,0.01808761312618356
DS16,mc.arima,arima,baseline,7,0.01785950614721557
DS16,mc.arima,arima,baseline,8,0.017715626817695795
DS16,mc.arima,arima,baseline,9,0.019256709791030432
DS16,mc.arima,arima,baseline,10,0.018117544344905492
DS16,mc.arima,arima,baseline,11,0.01845722906448777
DS16,mc.arima,arima,baseline,12,0.018022763305102194
DS16,mc.arima,arima,baseline,13,0.01817429700795421
DS16,mc.arima,arima,baseline,14,0.018900575304981283
DS16,mc.arima,arima,baseline,15,0.019786471684569647
DS16,mc.arima,arima,baseline,16,0.018930773391479205
DS16,mc.arima,arima,baseline,17,0.019261001018890174
DS16,mc.arima,arima,baseline,18,0.01834101942204083
DS16,mc.arima,arima,baseline,19,0.01941503457423738
DS16,mc.arima,arima,baseline,20,0.01844003867559313
DS16,mc.arima,arima,baseline,21,0.018537953285494402
DS16,mc.arima,arima,baseline,22,0.018763823269541458
DS16,mc.arima,arima,baseline,23,0.018930121240720934
DS16,mc.arima,arima,baseline,24,0.020144326259180903
DS16,mc.arima,arima,baseline,25,0.018703330750460077
DS16,mc.arima,arima,baseline,26,0.018097109002156348
DS16,mc.arima,arima,baseline,27,0.01808893274285118
DS16,mc.arima,arima,baseline,28,0.01754131609591044
DS16,mc.arima,arima,baseline,29,0.016989770224707976
DS16,mc.arima,arima,baseline,30,0.016944128581922617
DS16,mc.arima,arima,baseline,31,0.0127815576503973
DS16,mc.arima,arima,baseline,32,0.012782801059335982
DS16,mc.arima,arima,baseline,33,0.011246261435325818
DS16,mc.arima,arima,baseline,34,0.011006759650090006
DS16,mc.arima,arima,baseline,35,0.01087559616316665
DS16,mc.arima,arima,baseline,36,0.012691601192868553
DS16,mc.arima,arima,baseline,37,0.01079541989428257
DS16,mc.arima,arima,baseline,38,0.010541994958712497
DS16,mc.arima,arima,baseline,39,0.010594329863650729
DS16,mc.arima,arima,baseline,40,0.010910472553746537
DS16,mc.arima,arima,baseline,41,0.010736436155428934
