"dataset_id","dataset_name","workflow","iteration","prec","rec","F1"
"DS02","Bike Sharing Daily - Humidity","mc.lm",1,1e-05,0.508685061256722,1.99996068371501e-05
"DS02","Bike Sharing Daily - Humidity","mc.lm",2,1e-05,0.508346022109878,1.9999606574937e-05
"DS02","Bike Sharing Daily - Humidity","mc.lm",3,1e-05,0.505571802957934,1.99996044161423e-05
"DS02","Bike Sharing Daily - Humidity","mc.lm",4,1e-05,0.498508290114502,1.99995988111089e-05
"DS02","Bike Sharing Daily - Humidity","mc.lm",5,1e-05,0.496259163849763,1.9999596992893e-05
"DS02","Bike Sharing Daily - Humidity","mc.lm",6,1e-05,0.509160726681772,1.99996072044414e-05
"DS02","Bike Sharing Daily - Humidity","mc.lm",7,1e-05,0.485502960976226,1.99995880645501e-05
"DS02","Bike Sharing Daily - Humidity","mc.lm",8,1e-05,0.50810459488644,1.99996063880038e-05
"DS02","Bike Sharing Daily - Humidity","mc.lm",9,1e-05,0.50727309768956,1.9999605742827e-05
"DS02","Bike Sharing Daily - Humidity","mc.lm",10,1e-05,0.507676567145787,1.99996060561517e-05
"DS02","Bike Sharing Daily - Humidity","mc.lm",11,1e-05,0.508552492325638,1.99996067346629e-05
"DS02","Bike Sharing Daily - Humidity","mc.lm",12,1e-05,0.50811033958215,1.99996063924539e-05
"DS02","Bike Sharing Daily - Humidity","mc.lm",13,1e-05,0.505622050942007,1.99996044554541e-05
"DS02","Bike Sharing Daily - Humidity","mc.lm",14,1e-05,0.519484995970794,1.99996150107286e-05
"DS02","Bike Sharing Daily - Humidity","mc.lm",15,1e-05,0.502601902901916,1.99996020786638e-05
"DS02","Bike Sharing Daily - Humidity","mc.lm",16,1e-05,0.501855949167012,1.99996014872092e-05
"DS02","Bike Sharing Daily - Humidity","mc.lm",17,1e-05,0.495612024484357,1.9999596466682e-05
"DS02","Bike Sharing Daily - Humidity","mc.lm",18,1e-05,0.508517105921164,1.99996067072971e-05
