"dataset_id","dataset_name","workflow","iteration","prec","rec","F1"
"DS06","Bike Sharing Hourly - Humidity","mc.lm",1,1e-05,0.381959848183857,1.99994763984619e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",2,1e-05,0.385865010870127,1.99994816974555e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",3,1e-05,0.383900791615699,1.99994790456419e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",4,1e-05,0.383518772897182,1.99994785267387e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",5,1e-05,0.383577522428091,1.99994786066066e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",6,1e-05,0.383807966399531,1.99994789196507e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",7,1e-05,0.384215373578702,1.99994794721698e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",8,1e-05,0.38490641896692,1.99994804066801e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",9,1e-05,0.384881835720645,1.99994803734934e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",10,1e-05,0.385375699567908,1.99994810393841e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",11,1e-05,0.387363972671206,1.99994837030515e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",12,1e-05,0.386552493152745,1.99994826192309e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",13,1e-05,0.387863869529658,1.99994843684617e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",14,1e-05,0.385661679630932,1.99994814241995e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",15,1e-05,0.388459451552446,1.99994851590023e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",16,1e-05,0.387777895629396,1.99994842541445e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",17,1e-05,0.388495132595601,1.99994852062863e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",18,1e-05,0.389770465560368,1.99994868906534e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",19,1e-05,0.391006959602413,1.99994885132343e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",20,1e-05,0.393394759291624,1.99994916177416e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",21,1e-05,0.394923019635107,1.9999493585013e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",22,1e-05,0.395787539449308,1.99994946911487e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",23,1e-05,0.397322238991324,1.9999496642909e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",24,1e-05,0.397226069668426,1.99994965210481e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",25,1e-05,0.398266261613438,1.99994978360016e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",26,1e-05,0.398259650472268,1.99994978276658e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",27,1e-05,0.40065653080817,1.99995008317775e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",28,1e-05,0.400642155117945,1.9999500813867e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",29,1e-05,0.400977094469006,1.99995012308307e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",30,1e-05,0.402060970403613,1.99995025753792e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",31,1e-05,0.402149026821458,1.99995026842949e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",32,1e-05,0.400896540251724,1.9999501130613e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",33,1e-05,0.400453566565206,1.99995005787874e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",34,1e-05,0.399515914591401,1.999949940669e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",35,1e-05,0.399253284242488,1.99994990774061e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",36,1e-05,0.400001367648949,1.99995000142092e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",37,1e-05,0.40113517606492,1.99995014273836e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",38,1e-05,0.401519110788717,1.99995019041095e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",39,1e-05,0.40042771935921,1.99995005465511e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",40,1e-05,0.400101129933633,1.99995001388738e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",41,1e-05,0.399346986086376,1.99994991949384e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",42,1e-05,0.399375000163613,1.99994992300664e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",43,1e-05,0.399252539346623,1.99994990764715e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",44,1e-05,0.398531640759551,1.99994981703803e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",45,1e-05,0.398590796365061,1.99994982448559e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",46,1e-05,0.398232131789334,1.99994977929655e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",47,1e-05,0.398518710182418,1.99994981540981e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",48,1e-05,0.398873085861476,1.9999498599948e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",49,1e-05,0.398860926646778,1.99994985846633e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm",50,1e-05,0.396579973680207,1.99994957008163e-05
"DS06","Bike Sharing Hourly - Humidity","mc.lm_UNDERB",1,0.369022292956257,0.432636880092025,0.398305561456813
"DS06","Bike Sharing Hourly - Humidity","mc.lm_UNDERB",2,0.38436228654253,0.424015077957313,0.403216151389933
"DS06","Bike Sharing Hourly - Humidity","mc.lm_UNDERB",3,0.36039403130516,0.42928555583744,0.391834750621187
"DS06","Bike Sharing Hourly - Humidity","mc.lm_UNDERB",4,0.361031805277788,0.43200809818129,0.393343797457635
"DS06","Bike Sharing Hourly - Humidity","mc.lm_UNDERB",5,0.355315044743232,0.42972346501272,0.388992922769299
"DS06","Bike Sharing Hourly - Humidity","mc.lm_UNDERB",6,0.36428016044598,0.435591291464836,0.39675691678861
"DS06","Bike Sharing Hourly - Humidity","mc.lm_UNDERB",7,0.367237857682691,0.435596783847226,0.398507043514426
"DS06","Bike Sharing Hourly - Humidity","mc.lm_UNDERB",8,0.351307166275427,0.429115690626867,0.386332655291056
