"dataset_id","dataset_name","workflow","iteration","prec","rec","F1"
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",1,1e-05,0.384730719868067,1.99994801693981e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",2,1e-05,0.387343717443706,1.99994836760537e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",3,1e-05,0.392411484585074,1.99994903439086e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",4,1e-05,0.38746654641501,1.99994838397269e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",5,1e-05,0.388902422473935,1.99994857454058e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",6,1e-05,0.387076505114591,1.99994833196266e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",7,1e-05,0.387359303620698,1.99994836968285e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",8,1e-05,0.389432751759785,1.99994864456994e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",9,1e-05,0.389149127221648,1.9999486071414e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",10,1e-05,0.374783266870474,1.9999466372484e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",11,1e-05,0.373615410993934,1.99994647045032e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",12,1e-05,0.368719589670048,1.99994575970966e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",13,1e-05,0.368589585766296,1.99994574057928e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",14,1e-05,0.368126019021592,1.99994567225437e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",15,1e-05,0.384146233637294,1.99994793784859e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",16,1e-05,0.38530890889518,1.99994809494282e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",17,1e-05,0.38310497080614,1.9999477963496e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",18,1e-05,0.373855470154824,1.99994650482166e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",19,1e-05,0.369362496194592,1.9999458541169e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",20,1e-05,0.369835889756089,1.99994592342228e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",21,1e-05,0.370074016945161,1.99994595821737e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",22,1e-05,0.361814975307656,1.99994472465594e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",23,1e-05,0.36000797983277,1.99994444721897e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",24,1e-05,0.362154305680358,1.99994477644625e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",25,1e-05,0.370473742502467,1.9999460165246e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",26,1e-05,0.369093279135089,1.9999458146239e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",27,1e-05,0.385279787466069,1.99994809101967e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",28,1e-05,0.385786794819351,1.99994815923753e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",29,1e-05,0.387056508695368,1.99994832929341e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",30,1e-05,0.383681403971563,1.99994787477699e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",31,1e-05,0.372622188956271,1.99994632777148e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",32,1e-05,0.371230866437641,1.99994612662072e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",33,1e-05,0.373614282696191,1.99994647028867e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",34,1e-05,0.376960926648116,1.99994694551068e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",35,1e-05,0.383727090707711,1.99994788098288e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",36,1e-05,0.380674331846672,1.99994746303347e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",37,1e-05,0.382922879734823,1.99994777152588e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",38,1e-05,0.378302097696419,1.99994713359652e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",39,1e-05,0.380908192701518,1.99994749528801e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",40,1e-05,0.375761766525869,1.99994677620359e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",41,1e-05,0.375726482410672,1.99994677120552e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",42,1e-05,0.379035874387849,1.99994723593805e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",43,1e-05,0.38335257948047,1.99994783006722e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",44,1e-05,0.382181973557676,1.99994767027729e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",45,1e-05,0.378081167163197,1.99994710270502e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",46,1e-05,0.377203415213864,1.99994697961633e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",47,1e-05,0.378948023346195,1.99994722370614e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",48,1e-05,0.385943098065381,1.999948180232e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",49,1e-05,0.386065136307947,1.99994819661222e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm",50,1e-05,0.384374143956257,1.99994796871746e-05
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",1,0.435086169542578,0.400921878138935,0.417305945149798
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",2,0.384010607189791,0.39467994890992,0.389272184282473
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",3,0.397457385898894,0.406891273039327,0.402119006304467
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",4,0.289731221001927,0.394980403207223,0.334266720315256
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",5,0.32010016412973,0.387692592329145,0.350668924777702
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",6,0.443248236196702,0.396300428403751,0.418461664703041
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",7,0.37968491331935,0.413005781795876,0.39564502378513
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",8,0.288175226236503,0.43471910479716,0.346593605721381
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",9,0.139138525631445,0.404354363511873,0.207035900912578
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",10,0.154231044180444,0.367612411779551,0.217295993558643
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",11,0.377586622967844,0.368707070084579,0.373094021170631
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",12,0.134545342312341,0.351159747243897,0.194549776871444
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",13,0.34107094900603,0.355743983428873,0.348252979043632
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",14,0.34572775247983,0.34337246867807,0.344546085502759
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",15,0.363676769461087,0.395993464241009,0.379147733881987
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",16,0.0514235119928088,0.396300031864988,0.091034477507095
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",17,0.486621444111352,0.389682413921717,0.432790104183765
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",18,0.357059121191264,0.395344527365106,0.375227764457563
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",19,0.426591375795986,0.386519319438702,0.405567923819999
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",20,0.474390044960746,0.380918140971108,0.422546579101828
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",21,0.368142227342446,0.38612276048102,0.376918179594373
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",22,0.28823329131609,0.3803405851555,0.327942273960851
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",23,0.40105347809667,0.365454971636742,0.382427584493323
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",24,0.34977916759281,0.352711373462649,0.351239150992475
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",25,0.374876531443899,0.378817866457907,0.376836893632371
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",26,0.404101516986413,0.388336335400052,0.396062105724787
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",27,0.466217809502823,0.396820336360033,0.428728924372126
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",28,0.386671547032971,0.404727642847755,0.395493616339272
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",29,0.414025720668564,0.392463734774435,0.402956491320787
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",30,0.670549694291172,0.387815413147906,0.491417384983475
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",31,0.504481590645687,0.358280947873504,0.418993951201207
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",32,0.353680660677837,0.352869604142827,0.353274666900137
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",33,0.320963914712499,0.33722333953669,0.328892796058734
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",34,0.380009049919774,0.35872552844794,0.369060691726863
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",35,0.395752116137788,0.392229354259701,0.393982860742481
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",36,0.498271466692331,0.386906771190564,0.435583696263036
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",37,0.399349978365619,0.365247057031781,0.381537980324332
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",38,0.392067601490551,0.378121374579137,0.384968222111086
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",39,0.506457776518744,0.401549394148,0.447943187878821
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",40,0.40542086239393,0.344463297660972,0.372464480888738
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",41,0.448048567969774,0.350567298119142,0.393358515824494
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",42,0.396390485842504,0.317721582857554,0.352722823522126
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",43,0.341873366422074,0.332530037997961,0.337136979978881
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",44,0.441439295234022,0.351632641185388,0.391451161434279
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",45,0.349921272822112,0.31698867987925,0.332641856323347
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",46,0.3647797680938,0.347287865020741,0.355818972728617
"DS14","Istanbul Stock Exchange - S&P (Daily)","mc.lm_UNDERB",47,0.392751548482842,0.341758744745368,0.365485078817247
