"dataset_id","dataset_name","workflow","iteration","prec","rec","F1"
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",1,1e-05,0.342162638375093,1.99994154997286e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",2,1e-05,0.347852277771292,1.99994250598217e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",3,1e-05,0.350794314553505,1.99994298815844e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",4,1e-05,0.352529176950679,1.99994326871648e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",5,1e-05,0.353440273620728,1.99994341495398e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",6,1e-05,0.35377310159387,1.9999434681874e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",7,1e-05,0.353993525742851,1.99994350338755e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",8,1e-05,0.362003046655117,1.99994475337233e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",9,1e-05,0.361080857100631,1.99994461227803e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",10,1e-05,0.36217208485764,1.99994477915713e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",11,1e-05,0.365215353066144,1.99994523928903e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",12,1e-05,0.364993824488131,1.99994520605359e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",13,1e-05,0.365317378739747,1.99994525458215e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",14,1e-05,0.365949708859445,1.99994534917502e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",15,1e-05,0.36819409145388,1.99994568229831e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",16,1e-05,0.369849773895832,1.99994592545226e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",17,1e-05,0.36947448384252,1.99994587052806e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",18,1e-05,0.371267302394028,1.99994613190768e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",19,1e-05,0.369289087231077,1.99994584335382e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",20,1e-05,0.368149484892032,1.99994567571713e-05
"DS18","Istanbul Stock Exchange - BOVESPA (Daily)","mc.lm",21,1e-05,0.3589746660977,1.99994428731395e-05
