"dataset_id","dataset_name","workflow","iteration","prec","rec","F1"
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",1,0.960640946021657,0.975488651168219,0.968007866882196
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",2,0.956163477910075,0.979557116819102,0.967718938548937
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",3,0.973865060414544,0.976152460629735,0.975007418944515
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",4,0.97368183240382,0.9760637416515,0.974871332096376
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",5,0.974279947998528,0.976646012016207,0.97546154523766
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",6,0.974365266942075,0.976768857447228,0.975565581710239
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",7,0.976993953713139,0.977468201989476,0.977231020313374
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",8,0.983217003477342,0.983930009204421,0.98357337712401
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",9,0.980453779385845,0.983806347766467,0.982127202520588
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",10,0.972357732158226,0.977861184050999,0.97510169282696
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",11,0.968371591902999,0.976859054322347,0.972596806794709
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",12,0.967073023999621,0.977096257082465,0.972058802975762
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",13,0.98974801510406,0.985379808188588,0.98755908126739
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",14,0.989202205331423,0.98547093903972,0.98733304695706
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",15,0.98186309186334,0.984987878568602,0.983423003001482
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",16,0.98192093599102,0.984625285636356,0.98327125133362
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",17,0.971979148774288,0.97848939459003,0.975223406779793
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",18,0.972934707017505,0.978773907227026,0.975845572145426
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",19,0.973069570751012,0.979037878033176,0.976044600741694
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",20,0.970319459101613,0.978653513293632,0.974468667464305
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",21,0.963884026782318,0.978541412164108,0.971157417750449
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",22,0.967370984352873,0.97970777976362,0.973500298759766
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",23,0.978418065261014,0.979104240308769,0.978761032521588
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",24,0.980246708599267,0.980772630838423,0.980509599195777
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",25,0.987241256854672,0.986358032166437,0.986799446880303
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",26,0.982210026811199,0.982921553636501,0.982565661410485
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",27,0.974199203574065,0.981685499010101,0.977928024113369
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",28,0.974578873798037,0.98206576111414,0.978307993577167
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",29,0.974454981496261,0.982064267841521,0.978244827666842
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",30,0.978004392526466,0.982535987536576,0.980264952864885
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",31,0.975176832019878,0.984318293222107,0.979726239191341
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",32,0.987252216383783,0.989037346512822,0.98814397521787
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",33,0.974210249391217,0.981364424042423,0.977774250482979
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",34,0.973003251384438,0.978839026899527,0.975912415005755
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",35,0.968844177015005,0.976682333885648,0.972747466227516
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",36,0.969962238160632,0.9772647669195,0.973599809497052
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",37,0.97096198075504,0.977798431936623,0.974368214860256
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",38,0.984581503362726,0.983508499443125,0.984044708901716
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",39,0.988782593874474,0.985766520941461,0.987272253921093
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",40,0.985179035146395,0.985389849268599,0.985284430930907
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",41,0.980508158589977,0.984069061657935,0.982285382958709
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",42,0.987784441380901,0.98476589120972,0.986272856685009
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",43,0.987878160697194,0.9848833685231,0.986378491456491
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",44,0.987538898648309,0.984959950187065,0.986247738491439
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",45,0.981243339834588,0.984281912769987,0.982760277585203
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",46,0.983645618439918,0.983414198992412,0.983529895103219
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",47,0.981944320776914,0.983552662386229,0.982747833538656
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",48,1e-05,1e-05,1e-05
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",49,0.954934835280703,0.985259004693954,0.969859944889362
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm",50,0.944605635048232,0.981847950812694,0.962866807594279
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",1,0.971505420368662,0.979814225856276,0.975642133481566
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",2,0.973314131510009,0.982858664588097,0.978063113267703
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",3,0.97773991118413,0.978501381189667,0.978120497985199
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",4,0.976967296925633,0.978077359407108,0.977522013023003
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",5,0.977338575867144,0.97885330204717,0.978095352512794
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",6,0.978958209915167,0.979204653186093,0.979081416042653
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",7,0.982001607003084,0.979160941590142,0.980579217001568
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",8,0.986188807875031,0.984852857416137,0.985520379899288
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",9,0.981880590431131,0.983351953303528,0.982615721065159
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",10,0.979311277857557,0.981251728117699,0.980280542715706
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",11,0.977211544745587,0.97963494391125,0.978421743734593
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",12,0.977709223728726,0.979695521687011,0.978701364899037
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",13,0.990628270097568,0.987712072362374,0.989168021900797
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",14,0.990405606627305,0.987093052536811,0.988746555113779
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",15,0.986889881519617,0.987589762269051,0.987239697853282
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",16,0.986082023711547,0.9864565416791,0.986269247141213
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",17,0.97788282982855,0.981584402554778,0.979730119924816
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",18,0.978884929494792,0.98176296153984,0.980321833187894
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",19,0.977450891300366,0.981927929252242,0.97968429542342
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",20,0.976430969966125,0.981382479481642,0.978900463288074
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",21,0.972096392511354,0.981473389906833,0.976762386745484
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",22,0.975075248695075,0.982928176357788,0.978985964731487
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",23,0.980661456534661,0.981465156295355,0.981063141814696
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",24,0.98364551727444,0.983717795736304,0.983681655177662
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",25,0.989573292471257,0.988857288445558,0.98921516089567
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",26,0.984135178793359,0.984303340170389,0.98421925229896
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",27,0.979738415565544,0.982103355054179,0.98091945987921
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",28,0.981817134327277,0.982205733570988,0.982011395505239
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",29,0.980872130934628,0.982491340654994,0.981681068103842
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",30,0.98225583261237,0.98356486428656,0.982909912610142
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",31,0.987873253523767,0.986085983038226,0.986978809162011
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",32,0.990744372289724,0.989333883071947,0.990038625306794
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",33,0.97694112452567,0.981180078700399,0.979056013354538
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",34,0.977313156570256,0.980101935940197,0.978705559632562
"DS21","Australian Electricity Load - Total Demand (Half-Hourly)","mc.lm_UNDERB",35,0.974578321998566,0.978880604898175,0.976724725791004
