"dataset_id","dataset_name","workflow","iteration","prec","rec","F1"
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",1,1e-05,0.389414768148599,1.99994864219835e-05
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",2,1e-05,0.379645417357115,1.99994732065161e-05
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",3,1e-05,0.354183949208002,1.99994353376153e-05
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",4,1e-05,0.351080311502486,1.99994303460009e-05
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",5,1e-05,0.351587640807825,1.99994311679693e-05
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",6,1e-05,0.355367453044413,1.99994372180951e-05
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",7,1e-05,0.354499563644662,1.99994358403256e-05
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",8,1e-05,0.355706556691,1.99994377545935e-05
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",9,1e-05,0.351403194374112,1.99994308694062e-05
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",10,1e-05,0.349743878703117,1.99994281693151e-05
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",11,1e-05,0.344496964813021,1.99994194602129e-05
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",12,1e-05,0.341796895297023,1.99994148742967e-05
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",13,1e-05,0.340815866968521,1.99994131900792e-05
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",14,1e-05,0.341520782906597,1.99994144012487e-05
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",15,1e-05,0.342635998216389,1.99994163072062e-05
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",16,1e-05,0.34200777953863,1.99994152350785e-05
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",17,1e-05,0.34165482449687,1.99994146309902e-05
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",18,1e-05,0.341111223304882,1.99994136981626e-05
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",19,1e-05,0.341149025823533,1.99994137631285e-05
"DS20","Istanbul Stock Exchange - Emerging Markets (Daily)","mc.lm",20,1e-05,0.355691685553435,1.99994377310873e-05
