"dataset","svm_cost","svm_gamma","svm_median_f1","rpart_minsplit","rpart_cp","rpart_median_f1"
1,300,0.01,0.391689813069965,10,0.001,0.418857904763202
2,300,0.01,0.22193055492116,10,0.001,0.414998308814871
3,300,0.01,0.506484516552386,10,0.001,0.493289366698149
4,150,0.01,0.560460439809894,30,0.001,0.572990506055697
5,10,0.001,0.410272230749892,30,0.001,0.453793918355876
6,150,0.01,0.352936149110984,20,0.001,0.401389136311143
7,150,0.001,0.502080420047346,30,0.001,0.50963038322924
8,10,0.01,0.632367690700177,20,0.001,0.618202244115306
9,10,0.001,0.286696478737919,20,0.001,0.333563366237252
10,300,0.01,0.612455468400178,10,0.001,0.61449469443867
11,10,0.01,0.485563314284648,10,0.01,0.450487214509761
12,300,0.01,0.193298954272324,10,0.001,0.485995043689107
13,300,0.001,0.646330262899408,20,0.001,0.571718162220467
14,300,0.01,0.347313720518974,10,0.01,0.374243568186321
15,300,0.01,1.99995312996007e-05,10,0.001,0.356705372476383
16,300,0.01,0.421295161104679,10,0.001,0.216542119508285
17,300,0.01,0.370935539172124,10,0.001,0.499681440717307
18,300,0.01,0.113983678198101,10,0.001,0.392455502043988
19,150,0.01,0.528092943970517,10,0.001,0.347809961175171
20,150,0.01,1.9999500441875e-05,10,0.01,0.289685785321509
21,300,0.01,0.981544750923107,10,0.001,0.948842546044318
22,300,0.001,0.706234429115005,10,0.001,0.623115241105828
23,150,0.001,0.652084414991629,10,0.001,0.594529097832043
24,10,0.01,0.839089240437243,30,0.001,0.830195079409784
