"model","prec","rec","F1"
"mc.lm",1e-05,0.45453324431649,1.99995590666373e-05
"mc.lm_UNDERB",0.544313531457476,0.518737991306507,0.529737114467483
"mc.lm_UNDERT",0.541011007923246,0.519265710512907,0.528684887371896
"mc.lm_UNDERTPhi",0.524078096166487,0.522044499069121,0.521860715805894
"mc.lm_OVERB",0.554490192092814,0.512100635590562,0.531653021809304
"mc.lm_OVERT",0.581827900010564,0.508301343131945,0.541617229525322
"mc.lm_OVERTPhi",0.579131665519451,0.508451099088138,0.540573394936277
"mc.lm_SMOTEB",0.503909869481429,0.514433287145467,0.508192798001997
"mc.lm_SMOTET",0.485940913192955,0.532567042968293,0.507615207913826
"mc.lm_SMOTETPhi",0.474787804774909,0.537306253914565,0.503495497297226
"mc.svm",1e-05,0.445158602203789,1.99995500295157e-05
"mc.svm_UNDERB",0.518297280234422,0.511880840376317,0.513277889517091
"mc.svm_UNDERT",0.515268989048178,0.513622672694875,0.512916993616363
"mc.svm_UNDERTPhi",0.502295785491488,0.514368429193039,0.507373399490783
"mc.svm_OVERB",0.521199505492621,0.526253326488544,0.522881133891875
"mc.svm_OVERT",0.537613677763762,0.516280907799136,0.525625389716681
"mc.svm_OVERTPhi",0.537127959738823,0.516555470261244,0.525533048938124
"mc.svm_SMOTEB",0.485322067300709,0.519119129976271,0.500976623572496
"mc.svm_SMOTET",0.470921114053179,0.537912131161579,0.501922942688846
"mc.svm_SMOTETPhi",0.462521640155381,0.551627514775822,0.50267513927393
"mc.mars",0.30557918834814,0.459391429855985,0.291155257777917
"mc.mars_UNDERB",0.442970077408624,0.508578916952305,0.47030721973865
"mc.mars_UNDERT",0.43226125557458,0.511756040439778,0.461635389362264
"mc.mars_UNDERTPhi",0.467126688497581,0.529608892322683,0.489158408819651
"mc.mars_OVERB",0.438066009356552,0.514280435200976,0.471034329859825
"mc.mars_OVERT",0.442726784173146,0.515118935053238,0.473564363177048
"mc.mars_OVERTPhi",0.444511201762983,0.508161205692776,0.470982739285651
"mc.mars_SMOTEB",0.422874048265675,0.547675921523697,0.476149774463887
"mc.mars_SMOTET",0.425351907156885,0.54792984639271,0.477172799495052
"mc.mars_SMOTETPhi",0.429463393017816,0.56482456091361,0.487068340813886
"mc.rf",0.083339747357762,0.445742470884514,0.0747699370191729
"mc.rf_UNDERB",0.314045339666493,0.511186866420125,0.342757506125702
"mc.rf_UNDERT",0.32444290236421,0.520111469243449,0.340185349472272
"mc.rf_UNDERTPhi",0.425766176523955,0.521324452646416,0.43988347736464
"mc.rf_OVERB",0.231501171139661,0.439883245079812,0.261600038732637
"mc.rf_OVERT",0.193207158279963,0.449597690544767,0.216357900731063
"mc.rf_OVERTPhi",0.163754663791269,0.447681789759433,0.193709928341923
"mc.rf_SMOTEB",0.448231200285981,0.498734104409738,0.469971018859821
"mc.rf_SMOTET",0.479842944875377,0.514481256950639,0.494842529178352
"mc.rf_SMOTETPhi",0.467292660184548,0.523547051906315,0.491989971384167
"mc.rpart",0.425056203111142,0.461690096156476,0.44031641188646
"mc.rpart_UNDERB",0.401359708498947,0.5279530252452,0.453813193791695
"mc.rpart_UNDERT",0.40219447766956,0.524185004306427,0.45340038344021
"mc.rpart_UNDERTPhi",0.40629177022016,0.533973788952431,0.45974482428378
"mc.rpart_OVERB",0.404196127957504,0.436784408937622,0.418393269818367
"mc.rpart_OVERT",0.403476381723762,0.461705450861551,0.428967092391689
"mc.rpart_OVERTPhi",0.400303580329346,0.451064121587374,0.422217300313722
"mc.rpart_SMOTEB",0.392502370830617,0.519552521262515,0.445259069678786
"mc.rpart_SMOTET",0.391556552614536,0.513216796404084,0.440942895017155
"mc.rpart_SMOTETPhi",0.396719496559858,0.508171334854059,0.441639398251394
"mc.arima",1e-05,0.462241895477937,1.99995667761296e-05
"mc.BDES",1e-05,0.456631029945228,1.99995617099933e-05
