"model","tr.time","pr.time","tot.time"
"mc.lm",0.000599999999997181,0.00010000000000332,0.0007000000000005
"mc.lm_UNDERB",0.000300000000004275,0.000200000000006639,0.000500000000010914
"mc.lm_UNDERT",0.000599999999997181,0,0.000599999999997181
"mc.lm_UNDERTPhi",0.000699999999989132,0.00029999999999859,0.000999999999987722
"mc.lm_OVERB",0.00040000000000191,0.000200000000000955,0.000600000000002865
"mc.lm_OVERT",0.000499999999988177,0,0.000499999999988177
"mc.lm_OVERTPhi",0.00040000000000191,0.00010000000000332,0.00050000000000523
"mc.lm_SMOTEB",0.000300000000004275,0.00029999999999859,0.000600000000002865
"mc.lm_SMOTET",0.000200000000000955,0.000399999999990541,0.000599999999991496
"mc.lm_SMOTETPhi",0.00029999999999859,0.00040000000000191,0.0007000000000005
"mc.svm",0.00449999999999022,0.000600000000002865,0.00509999999999309
"mc.svm_UNDERB",0.000800000000026557,0.00029999999999859,0.00110000000002515
"mc.svm_UNDERT",0.00090000000000714,0.00040000000000191,0.00130000000000905
"mc.svm_UNDERTPhi",0.00080000000000382,0.000499999999999545,0.00130000000000337
"mc.svm_OVERB",0.0135999999999967,0.00090000000000714,0.0145000000000039
"mc.svm_OVERT",0.0131999999999891,0.00100000000000477,0.0141999999999939
"mc.svm_OVERTPhi",0.0133000000000038,0.000899999999990086,0.0141999999999939
"mc.svm_SMOTEB",0.00469999999998549,0.000600000000008549,0.00529999999999404
"mc.svm_SMOTET",0.00529999999999404,0.000799999999998136,0.00609999999999218
"mc.svm_SMOTETPhi",0.0163000000000068,0.000499999999999545,0.0168000000000063
"mc.mars",0.0047999999999945,0.000600000000008549,0.00540000000000305
"mc.mars_UNDERB",0.00240000000000578,0,0.00240000000000578
"mc.mars_UNDERT",0.00200000000000387,0,0.00200000000000387
"mc.mars_UNDERTPhi",0.00220000000000482,0.000200000000000955,0.00240000000000578
"mc.mars_OVERB",0.006899999999996,0.000399999999996226,0.00729999999999222
"mc.mars_OVERT",0.00749999999999318,0.000599999999997181,0.00809999999999036
"mc.mars_OVERTPhi",0.00889999999999418,0.000399999999996226,0.0092999999999904
"mc.mars_SMOTEB",0.00480000000000587,0.000299999999992906,0.00509999999999877
"mc.mars_SMOTET",0.00480000000000018,0.000399999999996226,0.00519999999999641
"mc.mars_SMOTETPhi",0.00470000000000255,0.000299999999992906,0.00499999999999545
"mc.rf",0.386400000000003,0.00670000000000073,0.393100000000004
"mc.rf_UNDERB",0.0476000000000056,0.0039000000000101,0.0515000000000157
"mc.rf_UNDERT",0.0473999999999933,0.00339999999999918,0.0507999999999924
"mc.rf_UNDERTPhi",0.045700000000005,0.00329999999998449,0.0489999999999895
"mc.rf_OVERB",0.6281,0.007000000000005,0.635100000000006
"mc.rf_OVERT",0.606699999999995,0.0182000000000073,0.624900000000002
"mc.rf_OVERTPhi",0.629099999999994,0.00700000000001069,0.636100000000005
"mc.rf_SMOTEB",0.3257,0.0063000000000045,0.332000000000005
"mc.rf_SMOTET",0.332400000000013,0.00549999999998363,0.337899999999996
"mc.rf_SMOTETPhi",0.323100000000005,0.00529999999999404,0.328399999999999
"mc.rpart",0.00440000000000964,0.00029999999999859,0.00470000000000823
"mc.rpart_UNDERB",0.00120000000002847,0.000199999999995271,0.00140000000002374
"mc.rpart_UNDERT",0.00100000000000477,0.000200000000000955,0.00120000000000573
"mc.rpart_UNDERTPhi",0.00100000000000477,0,0.00100000000000477
"mc.rpart_OVERB",0.00640000000000782,0.000399999999996226,0.00680000000000405
"mc.rpart_OVERT",0.00689999999998463,0.00010000000000332,0.00699999999998795
"mc.rpart_OVERTPhi",0.00659999999999172,9.99999999976353e-05,0.00669999999998936
"mc.rpart_SMOTEB",0.00319999999999823,0.000799999999981083,0.00399999999997931
"mc.rpart_SMOTET",0.0035999999999774,0.00029999999999859,0.00389999999997599
"mc.rpart_SMOTETPhi",0.00350000000000819,0.00029999999999859,0.00380000000000678
"mc.arima",0.0560000000000059,0.000599999999997181,0.0566000000000031
"mc.BDES",1.21800000000001,0.103799999999984,1.32179999999999
